Ticker,Sector,LastClose,PreviousClose,Volume,LastPrice,ChangePct,LastUpdated,PriceSource,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,RSI_14,ATR_14,ATRPct_14,MACD_Hist,Z_20,Return_20,Return_60,ADV_20,Hi_252,Lo_252,PctFromHi_252,PctToLo_252
BVH,Tài chính,49.65,49.8,36100.0,49.7,-0.20080321285139702,2025-10-28 10:20:00,intraday,51.75,55.693999999999996,52.511,51.51922194208049,53.52683496253379,38.81357114773805,1.5327215936930598,3.087052555273031,-0.10149589104966461,-0.8472913213385607,-10.216998191681736,-0.7000000000000006,342525.0,65.5,39.1,-24.198473282442745,26.98209718670075
BWE,Dịch vụ tiện ích,47.95,47.95,14700.0,47.95,0.0,2025-10-28 10:19:00,intraday,48.37,48.099,47.28336,48.16810453156661,48.23559642285043,46.868456647705045,0.9016025614046799,1.8802973126270697,-0.08087283938259207,-0.6620343837774655,-1.134020618556697,-2.738336713995937,112435.0,54.3,38.0,-11.69429097605892,26.184210526315788
CII,Công nghiệp,24.7,24.85,8589900.0,24.7,-0.6036217303822977,2025-10-28 10:21:00,intraday,26.994999999999997,24.951980000000002,15.665365,26.62853440093457,24.419615376092107,43.088346462084175,1.5812384035010052,6.401774912959535,-0.5856633823741095,-1.1546667415930345,-3.1372549019607843,74.34883885085057,27900165.0,31.35,9.015,-21.212121212121215,173.987798114254
CMG,Công nghệ thông tin,40.1,39.5,497000.0,40.05,1.3924050632911245,2025-10-28 10:21:00,intraday,38.915000000000006,39.911,39.63575,38.991449771283506,39.53794333647116,55.91259736316816,1.1545725413324233,2.8792332701556687,0.19695915018542676,1.281529505177912,2.2959183673469274,0.24999999999999467,513525.0,53.784,28.85,-25.442510783876237,38.994800693240904
CRE,Bất động sản,9.69,9.55,27600.0,9.69,1.4659685863874117,2025-10-28 10:18:00,intraday,10.067,10.4098,8.42415,10.012150909353071,10.069646665072662,42.014689369998436,0.4054008631604919,4.183703438188771,-0.056591272880669424,-1.238610265445384,-7.714285714285718,4.418103448275867,651835.0,11.7,6.02,-17.179487179487175,60.963455149501655
CTD,Công nghiệp,86.8,87.2,415900.0,86.8,-0.4587155963302836,2025-10-28 10:21:00,intraday,84.9,81.136,81.82300000000001,84.88811346618823,82.97172275314615,55.630698831504276,3.1589678828650514,3.639363920351442,0.232991724625909,0.6714864339866267,11.139564660691438,5.853658536585371,1382470.0,97.8,62.265,-11.247443762781185,39.40415964024733
CTG,Tài chính,48.25,48.6,1325200.0,48.3,-0.6172839506172978,2025-10-28 10:21:00,intraday,51.699250000000006,50.810700000000004,43.106984999999995,50.85725258184968,50.08939893843593,38.62201681504975,1.574538116507112,3.2632914331753615,-0.6286568259921751,-1.5126387511625365,-4.254474739056235,9.793837891958312,11210315.0,56.048,32.438,-13.913074507564948,48.74529872371909
CTR,Công nghiệp,91.0,91.0,145600.0,91.1,0.1098901098901095,2025-10-28 10:21:00,intraday,84.475,86.08813999999998,97.05958000000001,86.02436903783364,86.89448318916698,64.19493928115332,2.6871882423627937,2.9529541124865863,1.1605885946036214,2.0317785516703655,6.1843640606767725,3.597449908925321,476410.0,136.25,72.126,-33.211009174311926,26.168094723123424
DBC,Hàng tiêu dùng thiết yếu,25.6,25.55,573800.0,25.6,0.1956947162426559,2025-10-28 10:21:00,intraday,26.665,27.462999999999997,26.21693,26.48653784140265,27.288048896213688,36.351634331660485,0.7015543616162048,2.7404467250633,-0.10095548321482128,-1.190686614518252,-6.055045871559628,-13.920645595158032,4089800.0,32.35,19.088,-20.865533230293664,34.11567476948869
DCM,Nguyên vật liệu,34.6,34.4,601900.0,34.55,0.43604651162789665,2025-10-28 10:21:00,intraday,34.94,37.218,33.956855,35.006621669053224,36.05090460653265,45.37868049018295,1.0542981224219026,3.047104400063302,0.07602182918680156,-0.2833954882826908,-6.864064602960962,-3.2167832167832144,3132160.0,43.85,23.376,-21.094640820980615,48.01505817932923
DGC,Nguyên vật liệu,94.6,92.9,732900.0,94.6,1.829924650161452,2025-10-28 10:21:00,intraday,92.845,95.76199999999999,99.3545,93.2192309817115,95.37612892193337,52.36169050489192,2.529285822750711,2.673663660413014,0.2880524963848312,0.7813740707378377,3.05010893246187,-6.8897637795275575,1391660.0,119.2,73.1,-20.63758389261746,29.41176470588236
DGW,Công nghệ thông tin,39.15,39.05,280300.0,39.15,0.256081946222797,2025-10-28 10:20:00,intraday,40.0625,41.724,39.33958,40.02053588031041,41.262560225187,42.7505005025252,1.3664699250098857,3.4903446360405765,0.005689776944209579,-0.7366442543272809,-4.97572815533982,-9.792626728110598,1452935.0,49.5,28.316,-20.90909090909091,38.261053821161184
